Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
7,2,2,415,511,52,208,370.51425,584.16,954.67425,0.006691760769552488,0.0,0,0,1892.4937264742784,277.0,58.99999999999656,-6.882887292529541e-12,0.9963149438881932,0.8377197282631105,0.9144012502515189,0.43098333333333333,0.4868,0.9177833333333333,0.4275,0.4868,0.9143
8,2,2,405,511,62,248,341.65314,631.2,972.85314,0.004997728305315766,0.0003800836183960471,0,0,1840.716719672876,322.24477385024704,58.99999999999656,-6.882887292529541e-12,0.980977443770195,0.9105534981586577,0.9058463433067233,0.397412,0.526,0.923412,0.3942,0.526,0.9202
9,2,2,405,511,62,248,379.25058600000006,572.64,951.890586,0.004096681687832855,0.0,0,0,1837.4324047521507,322.0,58.99999999999656,-6.882887292529541e-12,0.9984609997503046,0.8657603253597933,0.9169321327641601,0.44114546666666665,0.4772,0.9183454666666667,0.43758,0.4772,0.91478
10,2,2,405,511,62,248,378.31455,572.16,950.4745499999999,0.004106776180698152,0.0,0,0,1837.4691991786447,322.0,-6.882887292529541e-12,58.99999999999656,0.998396543141282,0.8489445518727915,0.9153865265560387,0.44005666666666665,0.4768,0.9168566666666667,0.4365,0.4768,0.9133
1,2,3,405,511,62,248,377.69052600000003,574.32,952.010526,0.004113533525298231,0.0,0,0,1837.493829699712,322.0,-6.882887292529541e-12,39.333333333328746,0.9981732036721168,0.7353282321892839,0.9162539273853092,0.4393308,0.4786,0.9179308,0.43578,0.4786,0.91438
2,2,3,405,511,62,248,353.821608,612.24,966.061608,0.0070052539404553416,0.0,0,0,1848.0341506129598,322.0,-6.882887292529541e-12,39.333333333328746,0.9886795530148581,0.7848452473883092,0.9113315923361149,0.4115664,0.5102,0.9217664,0.40824,0.5102,0.91844
3,2,3,395,511,72,288,339.001038,638.1600000000001,977.1610380000001,0.007309273640931932,0.0,0,0,1803.484467793513,367.0,-6.882887292529541e-12,39.333333333328746,0.978441035188269,0.8699744791693186,0.9061607258252083,0.39432706666666667,0.5318,0.9261270666666667,0.39114,0.5318,0.92294
4,2,3,395,511,72,288,387.20689200000004,560.16,947.366892,0.005608974358974359,0.0,0,0,1797.4399038461538,367.0,-6.882887292529541e-12,39.333333333328746,0.9996804002688213,0.7380554500954258,0.9169071297080029,0.45040026666666666,0.4668,0.9172002666666667,0.44676,0.4668,0.91356
5,2,3,390,511,77,308,349.765452,621.6,971.365452,0.0062056737588652485,0.0,0,0,1776.781914893617,389.5,-6.882887292529541e-12,39.333333333328746,0.9857615285038617,0.8820043348953225,0.9116798409834803,0.4068482666666667,0.518,0.9248482666666666,0.40356,0.518,0.92156
6,2,3,385,511,82,328,357.877764,610.0799999999999,967.957764,0.0064963187527068,0.00039323633503735744,0,0,1755.0097444781293,412.32402674007085,58.99999999999656,-6.882887292529541e-12,0.9901737158176456,0.956179570147876,0.9155983203297722,0.4162845333333333,0.5084,0.9246845333333333,0.41292,0.5084,0.92132
7,2,3,385,511,82,328,354.91365,616.3199999999999,971.2336499999999,0.0061162079510703364,0.0,0,0,1753.6926605504589,412.0,118.0,118.0,0.9883086096768596,0.9756868201064914,0.9156053339869976,0.4128366666666667,0.5136,0.9264366666666667,0.4095,0.5136,0.9231
8,2,3,385,511,82,328,371.29428,587.76,959.0542800000001,0.0041841004184100415,0.0008159934720522236,0,0,1746.9979079497907,412.672378620971,58.99999999999656,-6.882887292529541e-12,0.9960679798896673,0.9610048378576984,0.9180665604298274,0.43189066666666664,0.4898,0.9216906666666667,0.4284,0.4898,0.9182
9,2,3,385,511,82,328,365.678064,597.6,963.2780640000001,0.005937234944868533,0.0008025682182985554,0,0,1753.0725190839694,412.66131621187805,118.0,118.0,0.9938488345927673,0.8775298079002822,0.9176781396987305,0.42535786666666664,0.498,0.9233578666666666,0.42192,0.498,0.91992
10,2,3,385,511,82,328,388.610946,560.4,949.010946,0.004794246903715541,0.0008557980316645272,0,0,1749.1120655213745,412.7051775780916,58.99999999999656,-6.882887292529541e-12,0.9997348664906895,0.8151706768839008,0.9187898000984756,0.45203346666666666,0.467,0.9190334666666666,0.44838,0.467,0.91538
1,3,1,460,511,7,28,494.53902000000005,414.96,909.49902,0.007514088916718848,0.0,0,0,2101.1083281152164,74.5,39.333333333328746,-6.882887292529541e-12,0.9415668910097461,0.8150739018790647,0.867229557253266,0.5752493333333333,0.3458,0.9210493333333334,0.5706,0.3458,0.9164
2,3,1,465,511,7,28,447.893226,481.44,929.333226,0.011363636363636364,0.0,0,0,2140.056818181818,74.5,39.333333333328746,-6.882887292529541e-12,0.9834064836613767,0.7229493158761676,0.906888411892872,0.5209908,0.4012,0.9221908,0.51678,0.4012,0.91798
3,3,1,465,511,7,28,442.589022,489.12,931.709022,0.010463899546564353,0.0,0,0,2136.2914196023717,74.5,39.333333333328746,-6.882887292529541e-12,0.9866687086048426,0.7126006863157577,0.9101238710820736,0.5148209333333333,0.4076,0.9224209333333333,0.51066,0.4076,0.91826
